year,month,masked_lon,masked_lat,TigacellID,est,se
2021,10,-118.25,33.9,-118.25_33.9,0,0
2021,10,-118.25,34,-118.25_34,0,0
2021,10,-118.25,34.050000000000004,-118.25_34.05,0,0
2021,10,-118.25,34.2,-118.25_34.2,0,0
2021,10,-118.30000000000001,33.75,-118.3_33.75,0,0
2021,10,-118.30000000000001,33.85,-118.3_33.85,0,0
2021,10,-118.30000000000001,33.9,-118.3_33.9,0,0
2021,10,-118.30000000000001,33.95,-118.3_33.95,0,0
2021,10,-118.30000000000001,34,-118.3_34,0,0
2021,10,-118.30000000000001,34.050000000000004,-118.3_34.05,0,0
2021,10,-118.30000000000001,34.15,-118.3_34.15,0,0
2021,10,-118.35000000000001,33.800000000000004,-118.35_33.8,0,0
2021,10,-118.35000000000001,33.85,-118.35_33.85,0,0
2021,10,-118.35000000000001,33.9,-118.35_33.9,0,0
2021,10,-118.35000000000001,33.95,-118.35_33.95,0,0
2021,10,-118.35000000000001,34,-118.35_34,0,0
2021,10,-118.35000000000001,34.050000000000004,-118.35_34.05,0,0
2021,10,-118.35000000000001,34.1,-118.35_34.1,0,0
2021,10,-118.35000000000001,34.2,-118.35_34.2,0,0
2021,10,-118.4,33.75,-118.4_33.75,0,0
2021,10,-118.4,33.800000000000004,-118.4_33.8,0,0
2021,10,-118.4,33.85,-118.4_33.85,0,0
2021,10,-118.4,33.9,-118.4_33.9,0,0
2021,10,-118.4,33.95,-118.4_33.95,0,0
2021,10,-118.4,34,-118.4_34,0,0
2021,10,-118.4,34.050000000000004,-118.4_34.05,0,0
2021,10,-118.4,34.1,-118.4_34.1,0,0
2021,10,-118.4,34.15,-118.4_34.15,0,0
2021,10,-118.4,34.2,-118.4_34.2,0,0
2021,10,-118.45,33.9,-118.45_33.9,0,0
2021,10,-118.45,33.95,-118.45_33.95,0,0
2021,10,-118.45,34,-118.45_34,0,0
2021,10,-118.45,34.050000000000004,-118.45_34.05,0,0
2021,10,-118.45,34.1,-118.45_34.1,0,0
2021,10,-118.45,34.15,-118.45_34.15,0,0
2021,10,-118.45,34.25,-118.45_34.25,0,0
2021,10,-118.5,34,-118.5_34,0,0
2021,10,-118.5,34.1,-118.5_34.1,0,0
2021,10,-118.5,34.15,-118.5_34.15,0,0
2021,10,-118.5,34.25,-118.5_34.25,0,0
2021,10,-118.55000000000001,34.15,-118.55_34.15,0,0
2021,10,-118.55000000000001,34.2,-118.55_34.2,0,0
2021,10,-118.55000000000001,34.35,-118.55_34.35,0,0
2021,10,-118.60000000000001,34.15,-118.6_34.15,0,0
2021,10,-118.60000000000001,34.2,-118.6_34.2,0,0
2021,10,-118.60000000000001,34.4,-118.6_34.4,0,0
2021,10,-13.450000000000001,29.150000000000002,-13.45_29.15,0,0
2021,10,-13.5,29,-13.5_29,0,0
2021,10,-13.5,29.05,-13.5_29.05,0,0
2021,10,-13.5,29.1,-13.5_29.1,0,0
2021,10,-13.5,29.150000000000002,-13.5_29.15,0,0
2021,10,-13.5,29.200000000000003,-13.5_29.2,0,0
2021,10,-13.55,28.950000000000003,-13.55_28.95,0,0
2021,10,-13.55,29,-13.55_29,0,0
2021,10,-13.55,29.05,-13.55_29.05,0,0
2021,10,-13.55,29.1,-13.55_29.1,0,0
2021,10,-13.55,29.200000000000003,-13.55_29.2,0,0
2021,10,-13.600000000000001,28.950000000000003,-13.6_28.95,0,0
2021,10,-13.600000000000001,29,-13.6_29,0,0
2021,10,-13.600000000000001,29.05,-13.6_29.05,0,0
2021,10,-13.600000000000001,29.1,-13.6_29.1,0,0
2021,10,-13.65,28.950000000000003,-13.65_28.95,0,0
2021,10,-13.65,29,-13.65_29,0,0
2021,10,-13.65,29.05,-13.65_29.05,0,0
2021,10,-13.700000000000001,28.900000000000002,-13.7_28.9,0,0
2021,10,-13.700000000000001,28.950000000000003,-13.7_28.95,0,0
2021,10,-13.700000000000001,29,-13.7_29,0,0
2021,10,-13.75,28.900000000000002,-13.75_28.9,0,0
2021,10,-13.75,28.950000000000003,-13.75_28.95,0,0
2021,10,-13.75,29,-13.75_29,0,0
2021,10,-13.8,28.85,-13.8_28.85,0,0
2021,10,-13.8,28.950000000000003,-13.8_28.95,0,0
2021,10,-13.850000000000001,28.85,-13.85_28.85,0,0
2021,10,-13.850000000000001,28.900000000000002,-13.85_28.9,0,0
2021,10,-13.850000000000001,28.950000000000003,-13.85_28.95,0,0
2021,10,-13.9,28.35,-13.9_28.35,0,0
2021,10,-13.9,28.400000000000002,-13.9_28.4,0,0
2021,10,-13.9,28.450000000000003,-13.9_28.45,0,0
2021,10,-13.9,28.5,-13.9_28.5,0,0
